date,product_id,category,region,price,discount,cost,sales,revenue,day_of_week,is_promo_day
2020-04-23,1009,Fashion,North,346.53,0.18,284.1546,18,5114.78,3,0
2020-04-23,1010,Fashion,West,130.26,0.09,118.5366,18,2133.66,3,0
2020-04-24,1001,Home,North,84.15,0.16,70.686,11,777.55,4,0
2020-04-24,1002,Home,South,343.11,0.27,250.4703,10,2504.7,4,0
2020-04-24,1003,Electronics,North,23,0.29,16.33,15,244.95,4,0
2020-04-24,1004,Home,West,249.72,0.05,237.234,14,3321.28,4,1
2020-04-24,1005,Electronics,North,97.39,0.29,69.1469,23,1590.38,4,0
2020-04-24,1006,Fashion,East,130.35,0.12,114.708,15,1720.62,4,0
2020-04-24,1007,Home,North,487.05,0.21,384.7695,8,3078.16,4,1
2020-04-24,1008,Fashion,South,160.97,0.27,117.5081,15,1762.62,4,0
2020-04-24,1009,Electronics,South,266.32,0.07,247.6776,26,6439.62,4,0
2020-04-24,1010,Fashion,North,25.64,0.24,19.4864,16,311.78,4,0
2020-04-25,1001,Fashion,North,118.55,0.27,86.5415,14,1211.58,5,1
2020-04-25,1002,Fashion,South,255.27,0.24,194.0052,14,2716.07,5,0
2020-04-25,1003,Home,North,180.24,0.13,156.8088,13,2038.51,5,0
2020-04-25,1004,Home,West,496.67,0.07,461.9031,12,5542.84,5,0
2020-04-25,1005,Home,West,99.03,0.27,72.2919,13,939.79,5,0
2020-04-25,1006,Electronics,East,264.82,0.02,259.5236,12,3114.28,5,0
2020-04-25,1007,Electronics,South,70.15,0.25,52.6125,20,1052.25,5,0
2020-04-25,1008,Home,East,74.71,0.03,72.4687,11,797.16,5,0
2020-04-25,1009,Fashion,East,499.91,0.21,394.9289,14,5529,5,0
2020-04-25,1010,Fashion,East,40.39,0.24,30.6964,12,368.36,5,1
2020-04-26,1001,Electronics,West,230.24,0.01,227.9376,26,5926.38,6,0
2020-04-26,1002,Fashion,West,348.86,0.11,310.4854,9,2794.37,6,0
2020-04-26,1003,Electronics,West,91.31,0.24,69.3956,21,1457.31,6,1
2020-04-26,1004,Fashion,East,64.63,0.13,56.2281,13,730.97,6,0
2020-04-26,1005,Fashion,West,319.03,0.1,287.127,11,3158.4,6,0
2020-04-26,1006,Electronics,West,453.43,0.01,448.8957,25,11222.39,6,0
2020-04-26,1007,Electronics,South,412.62,0.24,313.5912,19,5958.23,6,0
2020-04-26,1008,Electronics,North,419.42,0.26,310.3708,12,3724.45,6,0
2020-04-26,1009,Home,South,217.71,0.12,191.5848,8,1532.68,6,0
2020-04-26,1010,Electronics,South,258.26,0.08,237.5992,14,3326.39,6,0
2020-04-27,1001,Fashion,South,328.92,0.27,240.1116,13,3121.45,0,0
2020-04-27,1002,Fashion,East,476.21,0.26,352.3954,15,5285.93,0,0
2020-04-27,1003,Electronics,East,164.27,0.01,162.6273,26,4228.31,0,0
2020-04-27,1004,Home,South,241.54,0.27,176.3242,12,2115.89,0,0
2020-04-27,1005,Home,South,189.68,0.13,165.0216,10,1650.22,0,0
2020-04-27,1006,Home,West,311.34,0.12,273.9792,8,2191.83,0,0
2020-04-27,1007,Electronics,North,407.58,0.25,305.685,18,5502.33,0,0
2020-04-27,1008,Home,West,427.3,0.03,414.481,8,3315.85,0,0
2020-04-27,1009,Fashion,South,65.44,0.25,49.08,12,588.96,0,0
2020-04-27,1010,Fashion,West,211.42,0.06,198.7348,17,3378.49,0,0
2020-04-28,1001,Home,East,248.63,0.26,183.9862,10,1839.86,1,0
2020-04-28,1002,Electronics,South,290.56,0.07,270.2208,17,4593.75,1,0
2020-04-28,1003,Fashion,West,178.8,0.26,132.312,13,1720.06,1,0
2020-04-28,1004,Fashion,East,433.21,0.29,307.5791,14,4306.11,1,0
2020-04-28,1005,Electronics,West,230.05,0.24,174.838,16,2797.41,1,0
2020-04-28,1006,Home,South,352.86,0.29,250.5306,13,3256.9,1,0
2020-04-28,1007,Fashion,East,130.73,0.23,100.6621,14,1409.27,1,0
2020-04-28,1008,Fashion,East,307.99,0.06,289.5106,17,4921.68,1,0
2020-04-28,1009,Fashion,West,348.32,0.27,254.2736,13,3305.56,1,0
2020-04-28,1010,Home,West,317.03,0.21,250.4537,10,2504.54,1,0
2020-04-29,1001,Fashion,North,63.15,0.08,58.098,12,697.18,2,1
2020-04-29,1002,Fashion,South,383.72,0.17,318.4876,14,4458.83,2,0
2020-04-29,1003,Home,West,254.59,0.09,231.6769,11,2548.45,2,0
2020-04-29,1004,Electronics,East,83.99,0.08,77.2708,24,1854.5,2,0
2020-04-29,1005,Fashion,West,176.99,0.13,153.9813,14,2155.74,2,0
2020-04-29,1006,Electronics,West,23.58,0.07,21.9294,22,482.45,2,0
2020-04-29,1007,Electronics,East,178.46,0.04,171.3216,18,3083.79,2,0
2020-04-29,1008,Home,West,471.71,0.08,433.9732,12,5207.68,2,0
2020-04-29,1009,Home,South,117.75,0.28,84.78,5,423.9,2,0
2020-04-29,1010,Home,West,223.22,0.08,205.3624,10,2053.62,2,0
2020-04-30,1001,Fashion,East,462.21,0.29,328.1691,11,3609.86,3,0
2020-04-30,1002,Fashion,East,16.46,0.1,14.814,10,148.14,3,0
2020-04-30,1003,Home,East,53.28,0.14,45.8208,6,274.92,3,0
2020-04-30,1004,Fashion,West,481.32,0.29,341.7372,19,6493.01,3,0
2020-04-30,1005,Fashion,East,320.09,0.07,297.6837,10,2976.84,3,0
2020-04-30,1006,Fashion,West,454.12,0.01,449.5788,15,6743.68,3,0
2020-04-30,1007,Electronics,North,67.65,0.04,64.944,21,1363.82,3,0
2020-04-30,1008,Fashion,East,443.37,0.25,332.5275,17,5652.97,3,0
2020-04-30,1009,Fashion,East,346.19,0.07,321.9567,18,5795.22,3,0
2020-04-30,1010,Fashion,West,443.23,0.19,359.0163,16,5744.26,3,1
2020-05-01,1001,Electronics,South,214.43,0.29,152.2453,14,2131.43,4,0
2020-05-01,1002,Electronics,West,388.04,0.01,384.1596,18,6914.87,4,0
2020-05-01,1003,Electronics,South,232.51,0.27,169.7323,12,2036.79,4,0
2020-05-01,1004,Fashion,West,235.55,0.27,171.9515,16,2751.22,4,0
2020-05-01,1005,Fashion,South,21.88,0.11,19.4732,20,389.46,4,1
2020-05-01,1006,Fashion,South,278.01,0.28,200.1672,7,1401.17,4,0
2020-05-01,1007,Fashion,East,266.82,0.26,197.4468,21,4146.38,4,0
2020-05-01,1008,Fashion,South,174.93,0.2,139.944,12,1679.33,4,0
2020-05-01,1009,Electronics,West,180.31,0.01,178.5069,27,4819.69,4,0
2020-05-01,1010,Electronics,South,31.81,0.17,26.4023,17,448.84,4,0
2020-05-02,1001,Home,East,205.58,0.18,168.5756,13,2191.48,5,0
2020-05-02,1002,Fashion,North,413.72,0.27,302.0156,21,6342.33,5,1
2020-05-02,1003,Electronics,North,444.43,0.14,382.2098,11,4204.31,5,0
2020-05-02,1004,Fashion,North,247.33,0.12,217.6504,15,3264.76,5,0
2020-05-02,1005,Fashion,South,59.73,0.07,55.5489,11,611.04,5,0
2020-05-02,1006,Home,South,27.45,0.06,25.803,7,180.62,5,0
2020-05-02,1007,Fashion,North,342.55,0.12,301.444,14,4220.22,5,0
2020-05-02,1008,Electronics,South,144.95,0.06,136.253,28,3815.08,5,0
2020-05-02,1009,Electronics,West,245.41,0.1,220.869,24,5300.86,5,0
2020-05-02,1010,Electronics,East,74.93,0.08,68.9356,14,965.1,5,0
2020-05-03,1001,Electronics,East,250.82,0.06,235.7708,17,4008.1,6,0
2020-05-03,1002,Electronics,North,337.62,0.04,324.1152,16,5185.84,6,0
2020-05-03,1003,Home,East,467.21,0.2,373.768,10,3737.68,6,0
2020-05-03,1004,Home,South,128.11,0.21,101.2069,5,506.03,6,0
2020-05-03,1005,Home,East,393.7,0.01,389.763,10,3897.63,6,0
2020-05-03,1006,Electronics,East,88.8,0.1,79.92,20,1598.4,6,0
2020-05-03,1007,Electronics,South,211.58,0.11,188.3062,12,2259.67,6,1
2020-05-03,1008,Fashion,South,485.57,0.12,427.3016,18,7691.43,6,0
2020-05-03,1009,Home,South,229.03,0.21,180.9337,8,1447.47,6,0
2020-05-03,1010,Home,East,454.63,0.29,322.7873,6,1936.72,6,0
2020-05-04,1001,Electronics,West,332.34,0.16,279.1656,24,6699.97,0,0
2020-05-04,1002,Fashion,West,32.11,0.08,29.5412,11,324.95,0,0
2020-05-04,1003,Home,North,316.8,0.08,291.456,8,2331.65,0,0
2020-05-04,1004,Electronics,East,349.17,0.28,251.4024,22,5530.85,0,0
2020-05-04,1005,Electronics,South,426.71,0.25,320.0325,16,5120.52,0,0
2020-05-04,1006,Fashion,East,483.2,0.14,415.552,12,4986.62,0,0
2020-05-04,1007,Fashion,North,251.04,0.27,183.2592,9,1649.33,0,0
2020-05-04,1008,Electronics,North,432.5,0.02,423.85,23,9748.55,0,0
2020-05-04,1009,Fashion,West,491.29,0.08,451.9868,16,7231.79,0,0
2020-05-04,1010,Fashion,North,399.35,0.28,287.532,15,4312.98,0,0
2020-05-05,1001,Home,South,174.98,0.16,146.9832,7,1028.88,1,0
2020-05-05,1002,Electronics,East,371.13,0.02,363.7074,15,5455.61,1,0
2020-05-05,1003,Electronics,East,329.04,0.24,250.0704,27,6751.9,1,0
2020-05-05,1004,Electronics,East,296.08,0.3,207.256,24,4974.14,1,0
2020-05-05,1005,Fashion,South,261.76,0.24,198.9376,19,3779.81,1,1
2020-05-05,1006,Fashion,East,48.22,0.12,42.4336,16,678.94,1,0
2020-05-05,1007,Electronics,North,139.94,0.26,103.5556,16,1656.89,1,0
2020-05-05,1008,Fashion,South,101.56,0.11,90.3884,15,1355.83,1,0
2020-05-05,1009,Fashion,South,140.89,0.12,123.9832,20,2479.66,1,0
2020-05-05,1010,Electronics,South,159.71,0.2,127.768,24,3066.43,1,0
2020-05-06,1001,Electronics,North,288.39,0.03,279.7383,30,8392.15,2,0
2020-05-06,1002,Electronics,North,309.65,0.11,275.5885,17,4685,2,1
2020-05-06,1003,Home,South,484.47,0.29,343.9737,9,3095.76,2,0
2020-05-06,1004,Electronics,West,334.76,0.3,234.332,14,3280.65,2,0
2020-05-06,1005,Electronics,North,100.35,0.26,74.259,26,1930.73,2,0
2020-05-06,1006,Fashion,East,280.6,0.06,263.764,14,3692.7,2,0
2020-05-06,1007,Electronics,South,122.32,0.16,102.7488,19,1952.23,2,0
2020-05-06,1008,Electronics,South,214.5,0.26,158.73,28,4444.44,2,0
2020-05-06,1009,Fashion,West,110.28,0.01,109.1772,13,1419.3,2,0
2020-05-06,1010,Home,West,153.33,0.18,125.7306,5,628.65,2,0
2020-05-07,1001,Home,South,376.44,0.18,308.6808,8,2469.45,3,0
2020-05-07,1002,Fashion,East,44.59,0.08,41.0228,11,451.25,3,0
2020-05-07,1003,Electronics,East,202.87,0.08,186.6404,25,4666.01,3,0
2020-05-07,1004,Fashion,South,250.29,0.06,235.2726,16,3764.36,3,0
2020-05-07,1005,Home,North,172.25,0.15,146.4125,4,585.65,3,0
2020-05-07,1006,Home,North,71.66,0.23,55.1782,9,496.6,3,0
2020-05-07,1007,Fashion,South,124.74,0.05,118.503,10,1185.03,3,0
2020-05-07,1008,Home,West,247.78,0.15,210.613,8,1684.9,3,0
2020-05-07,1009,Electronics,South,325.79,0.04,312.7584,27,8444.48,3,0
2020-05-07,1010,Fashion,South,381.69,0.25,286.2675,16,4580.28,3,0
2020-05-08,1001,Home,South,180.46,0.09,164.2186,9,1477.97,4,0
2020-05-08,1002,Home,East,237.45,0.06,223.203,15,3348.04,4,0
2020-05-08,1003,Home,North,414.73,0.01,410.5827,6,2463.5,4,0
2020-05-08,1004,Home,South,312.78,0.04,300.2688,8,2402.15,4,0
2020-05-08,1005,Fashion,East,425.42,0.21,336.0818,18,6049.47,4,0
2020-05-08,1006,Fashion,North,92.37,0,92.37,21,1939.77,4,0
2020-05-08,1007,Electronics,South,357.33,0.23,275.1441,21,5778.03,4,0
2020-05-08,1008,Home,North,297.47,0.22,232.0266,15,3480.4,4,0
2020-05-08,1009,Fashion,West,243.9,0.22,190.242,13,2473.15,4,0
2020-05-08,1010,Fashion,South,473.29,0.14,407.0294,10,4070.29,4,0
2020-05-09,1001,Fashion,East,395.76,0.03,383.8872,17,6526.08,5,0
2020-05-09,1002,Electronics,North,44.47,0.17,36.9101,18,664.38,5,0
2020-05-09,1003,Electronics,West,20.26,0.2,16.208,19,307.95,5,0
2020-05-09,1004,Home,North,238.05,0.12,209.484,10,2094.84,5,0
2020-05-09,1005,Electronics,East,394.23,0.15,335.0955,23,7707.2,5,1
2020-05-09,1006,Electronics,North,119.4,0.07,111.042,18,1998.76,5,0
2020-05-09,1007,Electronics,West,17.58,0.22,13.7124,13,178.26,5,0
2020-05-09,1008,Home,North,394.67,0.11,351.2563,7,2458.79,5,0
2020-05-09,1009,Home,East,92.22,0.08,84.8424,5,424.21,5,0
2020-05-09,1010,Fashion,South,187.05,0.14,160.863,17,2734.67,5,0
2020-05-10,1001,Electronics,South,154.84,0.1,139.356,27,3762.61,6,0
2020-05-10,1002,Home,East,351.31,0.24,266.9956,14,3737.94,6,0
2020-05-10,1003,Fashion,South,310.47,0.24,235.9572,14,3303.4,6,0
2020-05-10,1004,Electronics,North,351.59,0.23,270.7243,18,4873.04,6,0
2020-05-10,1005,Home,South,138.33,0.27,100.9809,10,1009.81,6,0
2020-05-10,1006,Fashion,South,243.04,0,243.04,9,2187.36,6,0
2020-05-10,1007,Electronics,South,322.03,0.23,247.9631,25,6199.08,6,0
2020-05-10,1008,Fashion,East,402.35,0.25,301.7625,22,6638.78,6,0
2020-05-10,1009,Fashion,South,23.45,0.22,18.291,14,256.07,6,0
2020-05-10,1010,Fashion,West,366.28,0.27,267.3844,9,2406.46,6,0
2020-05-11,1001,Electronics,North,330.86,0.29,234.9106,26,6107.68,0,0
2020-05-11,1002,Home,West,363.72,0.09,330.9852,10,3309.85,0,0
2020-05-11,1003,Fashion,West,258.92,0.14,222.6712,25,5566.78,0,0
2020-05-11,1004,Fashion,South,205.58,0.07,191.1894,16,3059.03,0,0
2020-05-11,1005,Electronics,West,193.03,0.13,167.9361,19,3190.79,0,0
2020-05-11,1006,Fashion,South,69.87,0.27,51.0051,13,663.07,0,0
2020-05-11,1007,Fashion,East,434.27,0.13,377.8149,13,4911.59,0,0
2020-05-11,1008,Electronics,East,62.31,0.18,51.0942,23,1175.17,0,0
2020-05-11,1009,Home,South,397.77,0.25,298.3275,10,2983.27,0,0
2020-05-11,1010,Home,North,163.64,0.01,162.0036,8,1296.03,0,1
2020-05-12,1001,Electronics,West,115.07,0.29,81.6997,27,2205.89,1,0
2020-05-12,1002,Home,West,476.67,0.17,395.6361,5,1978.18,1,0
2020-05-12,1003,Home,East,36.42,0.28,26.2224,8,209.78,1,0
2020-05-12,1004,Home,South,443.93,0.06,417.2942,10,4172.94,1,0
2020-05-12,1005,Home,East,68.5,0.18,56.17,8,449.36,1,0
2020-05-12,1006,Home,West,107.31,0,107.31,13,1395.03,1,0
2020-05-12,1007,Home,North,37.11,0.27,27.0903,6,162.54,1,0
2020-05-12,1008,Home,South,135.29,0.14,116.3494,8,930.8,1,0
2020-05-12,1009,Home,North,80.13,0.21,63.3027,11,696.33,1,0
2020-05-12,1010,Fashion,East,341.18,0.06,320.7092,13,4169.22,1,0
2020-05-13,1001,Fashion,West,493.82,0.02,483.9436,13,6291.27,2,0
2020-05-13,1002,Home,East,197.95,0.29,140.5445,9,1264.9,2,1
2020-05-13,1003,Fashion,North,47.35,0.03,45.9295,26,1194.17,2,0
2020-05-13,1004,Electronics,East,470.68,0.01,465.9732,18,8387.52,2,0
2020-05-13,1005,Home,North,337.5,0.09,307.125,8,2457,2,0
2020-05-13,1006,Fashion,South,422.06,0.19,341.8686,11,3760.55,2,0
2020-05-13,1007,Electronics,West,375.89,0.17,311.9887,23,7175.74,2,0
2020-05-13,1008,Home,East,428.16,0.04,411.0336,12,4932.4,2,0
2020-05-13,1009,Electronics,North,423.85,0.28,305.172,18,5493.1,2,0
2020-05-13,1010,Electronics,North,479.77,0.09,436.5907,17,7422.04,2,0
2020-05-14,1001,Electronics,West,229.79,0.17,190.7257,12,2288.71,3,0
2020-05-14,1002,Home,North,168.1,0.29,119.351,9,1074.16,3,0
2020-05-14,1003,Electronics,North,252.75,0.29,179.4525,24,4306.86,3,0
2020-05-14,1004,Fashion,North,290.81,0.06,273.3614,13,3553.7,3,0
2020-05-14,1005,Home,East,406.63,0.21,321.2377,13,4176.09,3,0
2020-05-14,1006,Home,North,474.49,0.11,422.2961,7,2956.07,3,0
2020-05-14,1007,Fashion,North,209.11,0.12,184.0168,9,1656.15,3,0
2020-05-14,1008,Home,West,84.28,0.16,70.7952,11,778.75,3,0
2020-05-14,1009,Electronics,East,13.72,0.25,10.29,23,236.67,3,0
2020-05-14,1010,Fashion,West,160.12,0.19,129.6972,7,907.88,3,0
2020-05-15,1001,Electronics,North,183.02,0.18,150.0764,21,3151.6,4,0
2020-05-15,1002,Electronics,West,353.63,0.07,328.8759,18,5919.77,4,0
2020-05-15,1003,Home,West,324.3,0.18,265.926,6,1595.56,4,0
2020-05-15,1004,Fashion,West,472.31,0.18,387.2942,15,5809.41,4,0
2020-05-15,1005,Home,South,199.64,0.16,167.6976,9,1509.28,4,0
2020-05-15,1006,Fashion,West,198.12,0.21,156.5148,16,2504.24,4,0
2020-05-15,1007,Electronics,West,200.14,0.1,180.126,19,3422.39,4,1
2020-05-15,1008,Electronics,South,336.95,0.23,259.4515,16,4151.22,4,0
2020-05-15,1009,Home,East,122.8,0.13,106.836,8,854.69,4,0
